channels,fitness,val_acc,train_acc,val_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,below_baseline_short_by,penalty,eval_time_sec,epochs,inherited
16-16-12-12-16-32-32-24-24-20-48-56-48-56-64,-401.3701568636565,15.720000080871582,16.510000122070313,4.664392164611816,4.56274850654602,332778,51683968,0.7169560102896884,0.7505376503980564,0.28304398971031164,0.24946234960194358,81.20000007781982,406.0000003890991,0.35247015953063965,1,True
16-16-16-16-16-32-32-28-20-20-48-56-48-48-56,-352.78773238378295,23.839999993896484,19.160000134277343,2.511689529800415,4.3324913402557375,309770,54338096,0.6673862554238464,0.7890800276585581,0.33261374457615356,0.21091997234144189,73.08000016479492,365.4000008239746,0.32976794242858887,1,True
16-16-16-16-16-32-32-28-20-24-48-56-48-56-64,-398.60940280223093,16.31999996948242,20.78999984741211,4.21106432723999,4.6269612308502195,341610,56808064,0.7359841776651714,0.8249480937342585,0.26401582233482856,0.17505190626574152,80.60000018920898,403.0000009460449,0.34449100494384766,1,True
16-16-16-16-16-32-32-28-20-24-48-40-48-48-56,-399.0575712456473,16.060000149536133,20.310000054931642,3.029293840408325,4.088698043441773,286106,53269040,0.6164031765319269,0.7735555466747461,0.3835968234680731,0.22644445332525387,80.86000000915527,404.30000004577636,0.34649205207824707,1,True
16-12-16-16-16-28-28-28-24-28-56-48-48-48-56,-432.664434226237,10.480000105285644,19.459999978637697,2.420593768310547,4.246933781051636,310058,52365872,0.6680067391426121,0.7604400368780775,0.3319932608573879,0.23955996312192251,86.44000005340577,432.2000002670288,0.3440587520599365,1,True
16-16-16-12-16-24-32-28-20-24-48-64-48-48-56,-408.22144961170255,14.560000067138672,15.590000198364258,2.5686377101898192,4.384267967987061,319706,51905072,0.6887929437212649,0.753748450247124,0.31120705627873513,0.246251549752876,82.36000009155273,411.80000045776364,0.34879183769226074,1,True
16-16-16-16-16-32-32-28-20-24-56-56-48-56-56,-376.7800860252885,19.960000216674803,19.46999994506836,2.9985786613464356,4.528737869644165,342106,56844848,0.7370527885141569,0.8254822589309447,0.2629472114858431,0.17451774106905527,76.95999994201661,384.79999971008306,0.3266141414642334,1,True
16-16-12-16-16-32-32-28-20-20-48-56-56-48-56,-432.4239510832611,10.560000015258789,15.40000016784668,3.857797458267212,4.45096301612854,322602,53084720,0.6950322522266317,0.7708789120223648,0.3049677477733683,0.2291210879776352,86.36000014343261,431.8000007171631,0.3389918804168701,1,True
16-16-16-12-16-32-32-28-20-24-56-64-40-48-64,-433.41320735476495,10.46000008392334,15.700000042724609,2.6939777477264406,4.85618282623291,338858,54559360,0.7300551110191876,0.7922931509752058,0.26994488898081237,0.2077068490247942,86.46000007476806,432.3000003738403,0.37528085708618164,1,True
16-16-16-16-16-32-28-28-20-20-56-40-40-40-56,-386.6614289553967,18.019999969482424,32.820000311279294,2.7311186931610107,3.1174005699157714,263578,50559536,0.5678675611973613,0.73420901728474,0.43213243880263874,0.26579098271526,78.90000018920898,394.5000009460449,0.33695316314697266,1,True
