channels,fitness,test_acc,train_acc,test_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,eval_time_sec,epochs
8-32-48,11.069668369098743,29.45,28.9,1.8428209171295167,1.8102686401367187,293938,40772064,0.6332768865505845,0.5920785555094993,0.36672311344941555,0.4079214444905007,11.467135429382324,3
8-32-48,14.319668369098746,32.7,30.9,1.7344438009262084,1.7887816650390624,293938,40772064,0.6332768865505845,0.5920785555094993,0.36672311344941555,0.4079214444905007,11.636120557785034,3
8-32-48,12.169668369098744,30.55,30.86,1.7978448276519776,1.7887050170898438,293938,40772064,0.6332768865505845,0.5920785555094993,0.36672311344941555,0.4079214444905007,11.359225511550903,3
8-32-48,13.819668369098746,32.2,30.9,1.7401389083862304,1.7851844909667969,293938,40772064,0.6332768865505845,0.5920785555094993,0.36672311344941555,0.4079214444905007,11.531652688980103,3
12-16-48,18.310676633865278,32.7,33.8,1.7816489353179932,1.7375818237304688,231318,31740384,0.49836476686616943,0.4609234575428122,0.5016352331338305,0.5390765424571877,20.022557497024536,3
12-16-48,19.810676633865278,34.2,33.66,1.7419055557250978,1.7329990539550781,231318,31740384,0.49836476686616943,0.4609234575428122,0.5016352331338305,0.5390765424571877,20.002200603485107,3
12-16-48,18.460676633865276,32.85,34.84,1.7280795726776124,1.7237541473388671,231318,31740384,0.49836476686616943,0.4609234575428122,0.5016352331338305,0.5390765424571877,19.707637548446655,3
12-16-48,18.510676633865273,32.9,34.98,1.7360362005233765,1.7146128173828126,231318,31740384,0.49836476686616943,0.4609234575428122,0.5016352331338305,0.5390765424571877,19.611765146255493,3
16-28-56,12.02019895979258,36.45,33.98,1.7165278453826904,1.7252976135253906,361738,58485296,0.7793490953433558,0.8493043073371389,0.22065090465664416,0.1506956926628611,16.800745010375977,3
16-28-56,10.670198959792579,35.1,34.2,1.766703164100647,1.7294768798828124,361738,58485296,0.7793490953433558,0.8493043073371389,0.22065090465664416,0.1506956926628611,17.684333562850952,3
16-28-56,10.670198959792579,35.1,34.2,1.7373479175567628,1.7465836547851563,361738,58485296,0.7793490953433558,0.8493043073371389,0.22065090465664416,0.1506956926628611,16.531992435455322,3
16-28-56,8.02019895979258,32.45,32.34,1.7847536392211913,1.766492578125,361738,58485296,0.7793490953433558,0.8493043073371389,0.22065090465664416,0.1506956926628611,17.064483880996704,3
16-32-32,15.917792042977997,33.95,35.78,1.7014947023391724,1.6960444458007813,205146,52347200,0.44197830892333145,0.760168888211469,0.5580216910766685,0.239831111788531,8.488299369812012,3
16-32-32,16.26779204297799,34.3,35.42,1.735316469192505,1.715393798828125,205146,52347200,0.44197830892333145,0.760168888211469,0.5580216910766685,0.239831111788531,8.395044565200806,3
16-32-32,17.917792042977997,35.95,34.84,1.6943565196990966,1.7300999877929688,205146,52347200,0.44197830892333145,0.760168888211469,0.5580216910766685,0.239831111788531,8.460217475891113,3
16-32-32,16.567792042977995,34.6,35.08,1.712483751296997,1.7096238647460937,205146,52347200,0.44197830892333145,0.760168888211469,0.5580216910766685,0.239831111788531,8.538520336151123,3
12-32-40,16.901262382912616,34.5,34.06,1.7050020513534545,1.7376489501953125,242918,44753296,0.5233564722053456,0.6498927022671467,0.47664352779465435,0.3501072977328533,7.051520586013794,3
12-32-40,16.051262382912615,33.65,34.0,1.7428882217407227,1.7373430419921876,242918,44753296,0.5233564722053456,0.6498927022671467,0.47664352779465435,0.3501072977328533,7.120138883590698,3
12-32-40,17.401262382912616,35.0,33.62,1.707450098991394,1.7283532470703125,242918,44753296,0.5233564722053456,0.6498927022671467,0.47664352779465435,0.3501072977328533,7.411488056182861,3
12-32-40,16.751262382912618,34.35,32.36,1.7253099746704101,1.7563403381347655,242918,44753296,0.5233564722053456,0.6498927022671467,0.47664352779465435,0.3501072977328533,7.581341028213501,3
16-16-32,20.973511030305186,33.1,32.84,1.7425610513687133,1.7672761047363281,135706,35537216,0.29237279006536626,0.5160598079142882,0.7076272099346337,0.4839401920857118,6.677271127700806,3
16-16-32,22.023511030305183,34.15,32.46,1.7133863906860352,1.7793656921386718,135706,35537216,0.29237279006536626,0.5160598079142882,0.7076272099346337,0.4839401920857118,6.638101577758789,3
16-16-32,20.923511030305182,33.05,32.2,1.7772585754394532,1.773117349243164,135706,35537216,0.29237279006536626,0.5160598079142882,0.7076272099346337,0.4839401920857118,6.159664154052734,3
16-16-32,21.823511030305188,33.95,33.56,1.745441354751587,1.7493721069335937,135706,35537216,0.29237279006536626,0.5160598079142882,0.7076272099346337,0.4839401920857118,6.342986345291138,3
8-24-32,21.803097944659527,31.8,28.2,1.7666047830581666,1.8256636962890624,145842,24256832,0.31421036983414985,0.35224976718854845,0.6857896301658502,0.6477502328114515,10.403101682662964,3
8-24-32,20.953097944659525,30.95,27.22,1.7714214792251588,1.840660546875,145842,24256832,0.31421036983414985,0.35224976718854845,0.6857896301658502,0.6477502328114515,10.555189609527588,3
8-24-32,22.103097944659527,32.1,29.38,1.7482202444076538,1.7986361022949218,145842,24256832,0.31421036983414985,0.35224976718854845,0.6857896301658502,0.6477502328114515,10.393428564071655,3
8-24-32,19.553097944659527,29.55,29.62,1.794828444480896,1.811832373046875,145842,24256832,0.31421036983414985,0.35224976718854845,0.6857896301658502,0.6477502328114515,10.235199689865112,3
8-20-48,19.595245024960125,33.2,31.8,1.802146508216858,1.7957970886230468,237106,27279840,0.5108347660474756,0.39614889895518307,0.4891652339525244,0.6038511010448169,7.905701160430908,3
8-20-48,20.245245024960123,33.85,31.54,1.7139404525756836,1.789989825439453,237106,27279840,0.5108347660474756,0.39614889895518307,0.4891652339525244,0.6038511010448169,7.715836048126221,3
8-20-48,20.04524502496012,33.65,31.76,1.7354507303237916,1.777171435546875,237106,27279840,0.5108347660474756,0.39614889895518307,0.4891652339525244,0.6038511010448169,7.700979948043823,3
8-20-48,21.895245024960122,35.5,33.06,1.7410597953796387,1.7770686279296874,237106,27279840,0.5108347660474756,0.39614889895518307,0.4891652339525244,0.6038511010448169,7.488231897354126,3
8-24-56,16.126586378029533,34.3,30.92,1.7401687755584716,1.8461481079101563,322818,35537456,0.695497615015706,0.5160632931156585,0.30450238498429405,0.48393670688434154,7.679097652435303,3
8-20-56,13.853463897814741,30.65,29.38,1.7932228260040284,1.8469641967773438,306178,31685168,0.6596474445981291,0.4601216288808879,0.3403525554018709,0.5398783711191121,7.901034593582153,3
