channels,fitness,test_acc,train_acc,test_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,eval_time_sec,epochs
8-28-56,14.621405284982348,34.4,31.12,1.7453285007476806,1.7868761474609376,342050,40053296,0.7369321389021747,0.581640842099002,0.2630678610978253,0.418359157900998,2.882312059402466,3
8-32-40,15.271816640162191,30.9,32.06,1.8046537637710571,1.7537673095703126,234370,36974992,0.5049401707192009,0.536938719936653,0.49505982928079906,0.463061280063347,2.98724627494812,3
8-32-48,13.869668369098743,32.25,31.34,1.7791780843734741,1.778716049194336,293938,40772064,0.6332768865505845,0.5920785555094993,0.36672311344941555,0.4079214444905007,2.496013641357422,3
12-16-48,17.960676633865276,32.35,33.74,1.7839776391983033,1.734819512939453,231318,31740384,0.49836476686616943,0.4609234575428122,0.5016352331338305,0.5390765424571877,6.171346664428711,3
16-28-56,11.27019895979258,35.7,33.14,1.713655336380005,1.760936279296875,361738,58485296,0.7793490953433558,0.8493043073371389,0.22065090465664416,0.1506956926628611,6.065828084945679,3
16-32-32,15.517792042977991,33.55,35.16,1.7299332571029664,1.7020002868652344,205146,52347200,0.44197830892333145,0.760168888211469,0.5580216910766685,0.239831111788531,2.6821043491363525,3
12-32-40,15.451262382912613,33.05,35.12,1.7928313674926757,1.715093798828125,242918,44753296,0.5233564722053456,0.6498927022671467,0.47664352779465435,0.3501072977328533,2.3689382076263428,3
16-16-32,21.273511030305183,33.4,32.3,1.7526885995864867,1.7800382598876954,135706,35537216,0.29237279006536626,0.5160598079142882,0.7076272099346337,0.4839401920857118,2.3244330883026123,3
8-24-32,20.053097944659527,30.05,28.86,1.7513574142456054,1.8089467041015626,145842,24256832,0.31421036983414985,0.35224976718854845,0.6857896301658502,0.6477502328114515,2.888549327850342,3
8-20-48,21.345245024960125,34.95,32.22,1.7805471630096437,1.766581085205078,237106,27279840,0.5108347660474756,0.39614889895518307,0.4891652339525244,0.6038511010448169,2.2390027046203613,3
8-16-40,22.129356203746518,31.9,31.6,1.7579046649932861,1.775970361328125,164930,20386192,0.3553346518612357,0.2960416012223298,0.6446653481387643,0.7039583987776702,2.174025774002075,3
8-20-32,26.790008841164564,35.45,32.08,1.71929518699646,1.7822734130859375,130066,20459840,0.2802216505728702,0.29711109334949226,0.7197783494271298,0.7028889066505077,2.233189582824707,3
8-20-56,15.453463897814743,32.25,29.96,1.8239035930633545,1.8442307708740235,306178,31685168,0.6596474445981291,0.4601216288808879,0.3403525554018709,0.5398783711191121,2.236008405685425,3
8-16-64,14.593979445590573,33.9,32.5,1.7510189199447632,1.7860420288085936,371282,33546880,0.7999112363568988,0.4871568006037298,0.20008876364310124,0.5128431993962702,2.2352795600891113,3
16-20-32,20.189536643366345,33.45,31.88,1.8004425048828125,1.7776533447265626,149178,38744384,0.32139763957651984,0.562633250865724,0.6786023604234801,0.437366749134276,2.313610553741455,3
8-32-32,17.294365431863536,30.65,29.82,1.7822647771835327,1.8044816284179688,185170,33841472,0.3989408687633846,0.4914347691123796,0.6010591312366154,0.5085652308876204,1.9316184520721436,3
12-24-32,23.057910751105723,35.0,31.42,1.7279492645263672,1.7486828247070312,154102,31961408,0.3320061876015288,0.4641330956580897,0.6679938123984712,0.5358669043419103,2.3449037075042725,3
12-28-48,16.38196010224615,34.9,32.24,1.6616806507110595,1.7568337371826173,280806,43352544,0.6049845525407516,0.6295514406428384,0.39501544745924844,0.3704485593571616,2.7659101486206055,3
16-20-48,14.844772827161897,33.05,32.56,1.7820947408676147,1.7669304138183595,256218,45564384,0.5520107550511253,0.6616710564714149,0.4479892449488747,0.3383289435285851,2.0472421646118164,3
16-24-64,6.466044302268006,32.95,30.82,1.8032503442764283,1.8215919250488282,421946,58983040,0.9090646638831078,0.8565323826323586,0.0909353361168922,0.14346761736764135,2.3766751289367676,3
12-28-56,11.713534559580665,33.45,30.56,1.7517106380462646,1.793038623046875,350454,47794736,0.7550381985289365,0.6940594974990195,0.2449618014710635,0.3059405025009805,1.9862043857574463,3
8-24-40,18.007193568478296,30.25,32.54,1.8539152355194093,1.7705410888671875,194466,27353488,0.4189687043524348,0.3972183910823455,0.5810312956475652,0.6027816089176545,2.233261823654175,3
16-28-40,18.27745056576146,36.75,31.66,1.6561866445541382,1.7626435424804687,232810,50264464,0.5015792172425532,0.7299240783733496,0.49842078275744683,0.2700759216266504,2.2772414684295654,3
12-24-40,19.512006374924496,33.7,30.5,1.6997279901504516,1.7838358276367188,202726,35058064,0.4367645221198137,0.5091017195518868,0.5632354778801862,0.49089828044811323,2.379539966583252,3
12-28-32,22.130012749490827,35.65,31.7,1.7237618551254272,1.7445689453125,172614,36458816,0.37188950219108313,0.529442981176195,0.6281104978089169,0.47055701882380496,2.611260175704956,3
8-28-32,18.987883474892516,30.55,29.04,1.7582858724594117,1.836197021484375,164210,28717376,0.3537834425643213,0.4170243257761776,0.6462165574356786,0.5829756742238223,2.03535795211792,3
