feature,pcc,abs_pcc,rank,selected,scenario,case,source_battery,target_battery
early_voltage_slope,0.9849998461645286,0.9849998461645286,9,False,A_random_B0018_60_20_20,A,B0018,B0018
avg_power_w,0.9833762558190612,0.9833762558190612,10,False,A_random_B0018_60_20_20,A,B0018,B0018
time_to_3p8v_s,0.971490910545618,0.971490910545618,11,False,A_random_B0018_60_20_20,A,B0018,B0018
global_cycle_index,-0.9698496978712233,0.9698496978712233,12,False,A_random_B0018_60_20_20,A,B0018,B0018
cycle_index,-0.9686571330192193,0.9686571330192193,13,False,A_random_B0018_60_20_20,A,B0018,B0018
current_abs_mean,0.9636629459656321,0.9636629459656321,14,False,A_random_B0018_60_20_20,A,B0018,B0018
current_mean,-0.9636237841551817,0.9636237841551817,15,False,A_random_B0018_60_20_20,A,B0018,B0018
early_voltage_mean,0.9583701733011214,0.9583701733011214,16,False,A_random_B0018_60_20_20,A,B0018,B0018
time_to_3p9v_s,0.9562569252146796,0.9562569252146796,17,False,A_random_B0018_60_20_20,A,B0018,B0018
temp_range,-0.9478151814940808,0.9478151814940808,18,False,A_random_B0018_60_20_20,A,B0018,B0018
current_std,-0.9387350720671347,0.9387350720671347,19,False,A_random_B0018_60_20_20,A,B0018,B0018
voltage_std,-0.9125909109728704,0.9125909109728704,20,False,A_random_B0018_60_20_20,A,B0018,B0018
voltage_end,-0.8855099619890342,0.8855099619890342,21,False,A_random_B0018_60_20_20,A,B0018,B0018
time_to_4p0v_s,-0.8401325207879344,0.8401325207879344,22,False,A_random_B0018_60_20_20,A,B0018,B0018
temp_at_75pct_time,-0.7519113830497939,0.7519113830497939,23,False,A_random_B0018_60_20_20,A,B0018,B0018
time_to_4p1v_s,-0.7358369663984818,0.7358369663984818,24,False,A_random_B0018_60_20_20,A,B0018,B0018
temp_max,-0.7008407518721149,0.7008407518721149,25,False,A_random_B0018_60_20_20,A,B0018,B0018
voltage_slope,-0.5735277180631929,0.5735277180631929,26,False,A_random_B0018_60_20_20,A,B0018,B0018
voltage_start,0.5480105369047176,0.5480105369047176,27,False,A_random_B0018_60_20_20,A,B0018,B0018
voltage_max,0.5388986344586704,0.5388986344586704,28,False,A_random_B0018_60_20_20,A,B0018,B0018
temp_at_25pct_time,0.508208752435501,0.508208752435501,29,False,A_random_B0018_60_20_20,A,B0018,B0018
early_temp_mean,0.49296246998548765,0.49296246998548765,30,False,A_random_B0018_60_20_20,A,B0018,B0018
temp_end,0.4807656714465789,0.4807656714465789,31,False,A_random_B0018_60_20_20,A,B0018,B0018
temp_min,0.4147693916923337,0.4147693916923337,32,False,A_random_B0018_60_20_20,A,B0018,B0018
temp_start,0.4130559822855779,0.4130559822855779,33,False,A_random_B0018_60_20_20,A,B0018,B0018
temp_rise,0.33732580117321553,0.33732580117321553,34,False,A_random_B0018_60_20_20,A,B0018,B0018
temp_mean,-0.19807159998088872,0.19807159998088872,35,False,A_random_B0018_60_20_20,A,B0018,B0018
voltage_min,0.1770598051321557,0.1770598051321557,36,False,A_random_B0018_60_20_20,A,B0018,B0018
temp_at_50pct_time,-0.10495500253269806,0.10495500253269806,37,False,A_random_B0018_60_20_20,A,B0018,B0018
ambient_temperature,0.0,0.0,38,False,A_random_B0018_60_20_20,A,B0018,B0018
time_to_3p5v_s,0.9909009490180085,0.9909009490180085,1,True,B_chrono_B0005_first60_last40,B,B0005,B0005
time_to_3p6v_s,0.990852298584474,0.990852298584474,2,True,B_chrono_B0005_first60_last40,B,B0005,B0005
early_voltage_slope,0.9862460723172191,0.9862460723172191,3,True,B_chrono_B0005_first60_last40,B,B0005,B0005
time_to_3p7v_s,0.9808429777405724,0.9808429777405724,4,True,B_chrono_B0005_first60_last40,B,B0005,B0005
voltage_end,-0.9535756548496344,0.9535756548496344,5,True,B_chrono_B0005_first60_last40,B,B0005,B0005
global_cycle_index,-0.9485222564115893,0.9485222564115893,6,True,B_chrono_B0005_first60_last40,B,B0005,B0005
temp_range,-0.9383443219836086,0.9383443219836086,7,True,B_chrono_B0005_first60_last40,B,B0005,B0005
cycle_index,-0.936519087755609,0.936519087755609,8,True,B_chrono_B0005_first60_last40,B,B0005,B0005
duration_s,0.9104554723418865,0.9104554723418865,9,False,B_chrono_B0005_first60_last40,B,B0005,B0005
voltage_at_50pct_time,0.8992269170877085,0.8992269170877085,10,False,B_chrono_B0005_first60_last40,B,B0005,B0005
voltage_at_75pct_time,0.8731714563008036,0.8731714563008036,11,False,B_chrono_B0005_first60_last40,B,B0005,B0005
time_to_3p8v_s,0.8717374231513052,0.8717374231513052,12,False,B_chrono_B0005_first60_last40,B,B0005,B0005
