channels,fitness,val_acc,train_acc,val_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,below_baseline_short_by,penalty,eval_time_sec,epochs,inherited
16-12-12-12-16-32-28-24-32-20-48-64-64-32-32,-435.23528492773414,9.979999835205078,18.159999353027345,3.2345802799224854,3.1837339443206787,298778,48181568,0.6437044601576201,0.6996769450676501,0.35629553984237994,0.3003230549323499,86.99999860229492,434.9999930114746,5.4070985317230225,1,True
12-8-12-12-8-24-16-28-20-32-64-56-56-32-40,-438.2810772294635,9.179999737548828,16.69999915161133,2.6804663890838625,3.3829085624694826,283526,37233040,0.610844676551317,0.5406860084499869,0.389155323448683,0.45931399155001307,87.79999869995117,438.9999934997559,3.4523143768310547,1,True
8-8-12-12-8-24-28-16-20-24-64-64-64-32-32,-413.08158818665845,13.359999327087403,15.899999462890625,6.735545799255371,3.3428587440490722,297282,35389760,0.6404813919518091,0.5139185001923832,0.3595186080481909,0.48608149980761683,83.61999911041259,418.099995552063,4.815830230712891,1,True
16-12-8-8-16-32-28-28-16-20-32-64-64-40-40,-413.3112324453034,13.459999270629883,13.98999942779541,2.490350188446045,3.2041805126190184,282362,42209680,0.608336888187972,0.6129551440642839,0.39166311181202795,0.38704485593571614,83.51999916687012,417.5999958343506,0.5135707855224609,1,True
16-12-12-12-16-32-28-24-32-20-64-64-64-48-32,-419.27156892935477,12.819999627685547,16.95999967956543,2.460401725769043,3.490509147262573,352474,51609920,0.7593902023897241,0.7494623496019436,0.2406097976102759,0.2505376503980564,84.15999880981445,420.79999404907227,0.3653225898742676,1,True
16-12-12-12-8-32-16-24-20-20-64-64-64-32-40,-427.9336289198331,11.059999856567384,17.90999899597168,2.669979763031006,3.344846686935425,308474,41804176,0.6645940786894005,0.6070665478290448,0.33540592131059954,0.3929334521709552,85.91999858093261,429.59999290466305,0.42023181915283203,1,True
16-12-12-12-16-16-28-24-32-20-64-64-64-32-32,-426.40641981238446,11.439999885559082,17.249999600219727,2.831044156265259,3.3699927112579346,313754,46596416,0.6759696135334393,0.6766578870571703,0.3240303864665607,0.32334211294282966,85.53999855194093,427.6999927597046,2.9235401153564453,1,True
8-12-12-12-8-24-28-28-16-20-32-64-64-32-40,-432.51614825441885,10.03999990386963,14.769999645996094,2.4181983924865724,3.3638388912200927,256690,35058064,0.5530276589235469,0.5091017195518868,0.4469723410764531,0.49089828044811323,86.93999853363037,434.6999926681519,0.3991422653198242,1,True
8-12-12-12-16-24-24-16-20-24-64-64-64-32-32,-433.6889815244854,10.019999682617188,15.219999514770508,16.39225362854004,3.3485202453613283,299762,39113024,0.6458244461967364,0.5679865201704868,0.3541755538032636,0.4320134798295132,86.95999875488282,434.7999937744141,3.0174360275268555,1,True
8-8-12-12-8-24-32-16-20-20-64-64-64-32-32,-433.1374937243538,10.019999717712402,13.019999507141113,7.826604596710205,3.015253874206543,296274,35574080,0.638309698936129,0.5165951348447645,0.361690301063871,0.4834048651552355,86.95999871978759,434.79999359893793,0.34471845626831055,1,True
16-12-12-12-16-32-28-24-20-20-64-64-64-48-32,-389.97392824670396,17.61999981994629,26.329999334716796,2.605935371017456,2.8259125856399536,342058,48955712,0.7369493745610293,0.7109188106076518,0.26305062543897073,0.28908118939234817,79.35999861755371,396.7999930877686,0.3881034851074219,1,True
16-8-8-12-16-24-28-24-20-20-64-64-64-32-32,-438.4135552439369,9.31999969177246,16.50999927368164,2.9576634185791018,3.3921557765960695,306218,42246464,0.6597336228924021,0.61348930926097,0.3402663771075979,0.38651069073903,87.65999874572753,438.2999937286377,0.7257003784179688,1,True
16-12-12-12-16-32-32-24-20-20-40-64-64-32-32,-418.8492045199823,12.619999687194824,18.60999967651367,2.829911883163452,3.175941849517822,280138,45803840,0.603545375026392,0.6651483580519304,0.39645462497360795,0.3348516419480696,84.35999875030518,421.7999937515259,2.424755096435547,1,True
16-12-12-12-8-32-16-20-20-20-64-64-64-32-40,-437.15536687219253,9.499999876403809,15.949999468994141,3.161147640991211,3.535962205505371,305578,41066896,0.6583547701840338,0.5963600092195194,0.34164522981596623,0.40363999078048063,87.4799985610962,437.39999280548096,0.4100368022918701,1,True
16-16-12-12-12-16-16-28-28-20-56-48-40-40-48,-414.0142449866062,13.23999928741455,28.589999047851563,3.4905432041168214,2.9319453678131104,244218,40790496,0.5261572667692188,0.5923462189747374,0.4738427332307812,0.4076537810252626,83.73999915008545,418.69999575042726,11.381898641586304,1,True
8-8-12-16-8-24-28-24-32-28-48-32-48-56-40,-428.9437450857694,10.699999699401856,15.079999447631836,4.06078413848877,3.5494071453094485,252418,38044048,0.5438238170951882,0.552463200920465,0.45617618290481177,0.44753679907953503,86.27999873809814,431.3999936904907,2.6394004821777344,1,True
12-16-16-8-12-28-20-32-32-24-40-32-40-40-40,-434.4582768609987,9.759999708557128,15.849999194335938,25.453645321655273,3.481630507659912,208966,40403344,0.45020833602640503,0.5867241244709465,0.5497916639735949,0.41327587552905354,87.21999872894287,436.09999364471435,2.852698564529419,1,True
8-8-8-16-8-24-24-24-24-28-32-32-48-48-48,-426.57973725645877,10.879999856567382,14.189999481201172,31.408454522705078,3.396871173477173,215218,31961568,0.4636780034212783,0.46413541912566986,0.5363219965787217,0.5358645808743301,86.09999858093262,430.4999929046631,2.6013898849487305,1,True
12-8-12-16-12-24-32-20-20-16-56-48-48-64-32,-440.0662286793619,8.919999708557128,14.119999716186523,2.5956312225341795,3.2886673877716066,276102,39334208,0.5948499851342443,0.5711984817533444,0.40515001486575575,0.4288015182466556,88.05999872894287,440.2999936447144,5.233626842498779,1,True
12-8-16-12-12-16-32-24-16-24-40-32-40-40-64,-411.1305472906542,13.539999226379395,10.51999963531494,9.229872370910645,3.623939312362671,218406,35242624,0.4705464134748381,0.5117818394056384,0.529453586525162,0.4882181605943616,83.43999921112061,417.19999605560304,3.741453170776367,1,True
16-12-16-12-12-32-32-24-20-20-40-48-48-64-56,-413.9635178210941,13.519999128723144,16.71999955444336,10.06107731628418,3.8635833274841307,304522,47536688,0.6560796632152259,0.6903122089856856,0.34392033678477407,0.30968779101431443,83.45999930877686,417.2999965438843,2.514697551727295,1,True
